,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
24,REAC,REAC:R-HSA-170834,Signaling by TGF-beta Receptor Complex,0.0068363860575034255,True,Signaling by TGF-beta Receptor Complex,71,25,4,10543,2.16,0.056338028169014086,query_1,['REAC:R-HSA-9006936']
28,GO:BP,GO:0009892,negative regulation of metabolic process,0.007463473910958525,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",3479,35,19,18117,0.5428571428571428,0.0054613394653636104,query_1,"['GO:0008152', 'GO:0019222', 'GO:0048519']"
29,GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,0.007597741161349115,True,"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",3483,35,19,18117,0.5428571428571428,0.005455067470571347,query_1,"['GO:0009893', 'GO:0043170', 'GO:0060255']"
33,REAC,REAC:R-HSA-3656532,TGFBR1 KD Mutants in Cancer,0.010285402759804222,True,TGFBR1 KD Mutants in Cancer,4,25,2,10543,2.08,0.5,query_1,['REAC:R-HSA-3656534']
34,REAC,REAC:R-HSA-3304356,SMAD2/3 Phosphorylation Motif Mutants in Cancer,0.010285402759804222,True,SMAD2/3 Phosphorylation Motif Mutants in Cancer,4,25,2,10543,2.08,0.5,query_1,['REAC:R-HSA-3304349']
38,GO:BP,GO:0019222,regulation of metabolic process,0.012156440375542782,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",7148,35,27,18117,0.7714285714285715,0.0037772803581421375,query_1,"['GO:0008152', 'GO:0050789']"
40,REAC,REAC:R-HSA-2173789,TGF-beta receptor signaling activates SMADs,0.014599650861140795,True,TGF-beta receptor signaling activates SMADs,30,25,3,10543,2.12,0.1,query_1,['REAC:R-HSA-170834']
41,GO:BP,GO:0031325,positive regulation of cellular metabolic process,0.015048888485287936,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]",3274,35,18,18117,0.5142857142857142,0.005497861942577886,query_1,"['GO:0009893', 'GO:0031323', 'GO:0044237', 'GO:0048522']"
44,GO:BP,GO:0006915,apoptotic process,0.016892846206333443,True,"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]",1990,35,14,18117,0.4,0.007035175879396985,query_1,['GO:0012501']
45,REAC,REAC:R-HSA-3656534,Loss of Function of TGFBR1 in Cancer,0.017117407584129742,True,Loss of Function of TGFBR1 in Cancer,5,25,2,10543,2.08,0.4,query_1,['REAC:R-HSA-3304351']
46,REAC,REAC:R-HSA-3304349,Loss of Function of SMAD2/3 in Cancer,0.017117407584129742,True,Loss of Function of SMAD2/3 in Cancer,5,25,2,10543,2.08,0.4,query_1,['REAC:R-HSA-3304351']
51,GO:BP,GO:1990428,miRNA transport,0.020892409084164443,True,"""The directed movement of microRNA (miRNA) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or pore."" [GO:jl, PMID:24356509]",3,35,2,18117,0.05714285714285714,0.6666666666666666,query_1,['GO:0050658']
56,REAC,REAC:R-HSA-3304351,Signaling by TGF-beta Receptor Complex in Cancer,0.025638774390898327,True,Signaling by TGF-beta Receptor Complex in Cancer,6,25,2,10543,2.08,0.3333333333333333,query_1,['REAC:R-HSA-5663202']
57,REAC,REAC:R-HSA-9006936,Signaling by TGFB family members,0.02634114026348987,True,Signaling by TGFB family members,100,25,4,10543,2.16,0.04,query_1,['REAC:R-HSA-162582']
58,GO:BP,GO:0051246,regulation of protein metabolic process,0.0265090702465588,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]",2704,35,16,18117,0.45714285714285713,0.005917159763313609,query_1,"['GO:0019538', 'GO:0051171', 'GO:0060255', 'GO:0080090']"
60,GO:BP,GO:0009893,positive regulation of metabolic process,0.026961258079826758,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",3783,35,19,18117,0.5428571428571428,0.0050224689399947136,query_1,"['GO:0008152', 'GO:0019222', 'GO:0048518']"
62,GO:BP,GO:0002520,immune system development,0.02969914298039381,True,"""The process whose specific outcome is the progression of an organismal system whose objective is to provide calibrated responses by an organism to a potential internal or invasive threat, over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:add, GOC:dph]",1020,35,10,18117,0.2857142857142857,0.00980392156862745,query_1,"['GO:0002376', 'GO:0048731']"
66,GO:BP,GO:0044238,primary metabolic process,0.03440054461920131,True,"""The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [GOC:go_curators, http://www.metacyc.org]",10584,35,32,18117,0.9142857142857143,0.0030234315948601664,query_1,['GO:0008152']
68,GO:BP,GO:0097193,intrinsic apoptotic signaling pathway,0.03645367177661816,True,"""A series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway starts with reception of an intracellular signal (e.g. DNA damage, endoplasmic reticulum stress, oxidative stress etc.), and ends when the execution phase of apoptosis is triggered. The intrinsic apoptotic signaling pathway is crucially regulated by permeabilization of the mitochondrial outer membrane (MOMP)."" [GOC:mtg_apoptosis, GOC:yaf, PMID:11919192, PMID:17340152, PMID:18852119]",294,35,6,18117,0.17142857142857143,0.02040816326530612,query_1,"['GO:0035556', 'GO:0097190']"
73,GO:BP,GO:0012501,programmed cell death,0.039817321010824754,True,"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]",2143,35,14,18117,0.4,0.006532897806812879,query_1,['GO:0008219']
74,KEGG,KEGG:05213,Endometrial cancer,0.04109727958222219,True,Endometrial cancer,58,24,3,8001,1.125,0.05172413793103448,query_1,['KEGG:00000']
75,GO:BP,GO:0097296,activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,0.04173407765953876,True,"""Any process that initiates the activity of an inactive cysteine-type endopeptidase involved in the apoptotic signaling pathway."" [GOC:mtg_apoptosis]",4,35,2,18117,0.05714285714285714,0.5,query_1,['GO:2001269']
78,KEGG,KEGG:05200,Pathways in cancer,0.0427080091195886,True,Pathways in cancer,529,24,7,8001,1.2916666666666667,0.013232514177693762,query_1,['KEGG:00000']
81,KEGG,KEGG:04144,Endocytosis,0.04846928570152094,True,Endocytosis,252,24,5,8001,1.2083333333333333,0.01984126984126984,query_1,['KEGG:00000']
83,GO:BP,GO:0007176,regulation of epidermal growth factor-activated receptor activity,0.04975757185610483,True,"""Any process that modulates the frequency, rate or extent of EGF-activated receptor activity."" [GOC:dph, GOC:go_curators]",30,35,3,18117,0.08571428571428572,0.1,query_1,"['GO:0010469', 'GO:0061097']"
