,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
133,GO:BP,GO:0051588,regulation of neurotransmitter transport,0.000590177694502995,True,"""Any process that modulates the frequency, rate or extent of the directed movement of a neurotransmitter into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",106,581,16,18117,0.027538726333907058,0.1509433962264151,query_1,"['GO:0006836', 'GO:0051049']"
79,GO:BP,GO:0016079,synaptic vesicle exocytosis,3.874650943740933e-05,True,"""Fusion of intracellular membrane-bounded vesicles with the pre-synaptic membrane of the neuronal cell resulting in release of neurotransmitter into the synaptic cleft."" [GOC:jid, GOC:lmg]",112,581,18,18117,0.03098106712564544,0.16071428571428573,query_1,"['GO:0007269', 'GO:0045055', 'GO:0051649', 'GO:0099003', 'GO:0099504', 'GO:0099643']"
165,GO:BP,GO:0060078,regulation of postsynaptic membrane potential,0.0017367554199206171,True,"""Any process that modulates the potential difference across a post-synaptic membrane."" [GOC:dph, GOC:ef]",143,581,18,18117,0.03098106712564544,0.1258741258741259,query_1,['GO:0042391']
116,GO:BP,GO:0060041,retina development in camera-type eye,0.0002816140659006511,True,"""The process whose specific outcome is the progression of the retina over time, from its formation to the mature structure. The retina is the innermost layer or coating at the back of the eyeball, which is sensitive to light and in which the optic nerve terminates."" [GOC:bf, GOC:dph, ISBN:0815340729]",155,581,20,18117,0.03442340791738382,0.12903225806451613,query_1,"['GO:0043010', 'GO:0048856']"
190,GO:BP,GO:0048167,regulation of synaptic plasticity,0.004916059391627951,True,"""A process that modulates synaptic plasticity, the ability of synapses to change as circumstances require. They may alter function, such as increasing or decreasing their sensitivity, or they may increase or decrease in actual numbers."" [GOC:dph, GOC:jid, GOC:tb, PMID:11891290]",185,581,20,18117,0.03442340791738382,0.10810810810810811,query_1,"['GO:0050804', 'GO:0065008']"
90,GO:BP,GO:1903305,regulation of regulated secretory pathway,8.095859527668934e-05,True,"""Any process that modulates the frequency, rate or extent of regulated secretory pathway."" [GO_REF:0000058, GOC:pad, GOC:PARL, GOC:TermGenie, PMID:12526776]",144,581,20,18117,0.03442340791738382,0.1388888888888889,query_1,"['GO:0017157', 'GO:0045055']"
307,GO:BP,GO:0007601,visual perception,0.044293561475261305,True,"""The series of events required for an organism to receive a visual stimulus, convert it to a molecular signal, and recognize and characterize the signal. Visual stimuli are detected in the form of photons and are processed to form an image."" [GOC:ai]",214,581,20,18117,0.03442340791738382,0.09345794392523364,query_1,['GO:0050953']
278,GO:BP,GO:0030072,peptide hormone secretion,0.026575588265064645,True,"""The regulated release of a peptide hormone from a cell."" [GOC:mah]",260,581,23,18117,0.039586919104991396,0.08846153846153847,query_1,"['GO:0002790', 'GO:0046879']"
265,GO:BP,GO:0046883,regulation of hormone secretion,0.02165752759833846,True,"""Any process that modulates the frequency, rate or extent of the regulated release of a hormone from a cell."" [GOC:ai]",275,581,24,18117,0.04130808950086059,0.08727272727272728,query_1,"['GO:0010646', 'GO:0010817', 'GO:0023051', 'GO:0046879', 'GO:1903530']"
76,GO:BP,GO:0017157,regulation of exocytosis,2.9528835106993702e-05,True,"""Any process that modulates the frequency, rate or extent of exocytosis."" [GOC:go_curators]",207,581,25,18117,0.043029259896729774,0.12077294685990338,query_1,"['GO:0006887', 'GO:0060627', 'GO:1903530']"
282,GO:BP,GO:0046879,hormone secretion,0.02821859103897557,True,"""The regulated release of hormones, substances with a specific regulatory effect on a particular organ or group of cells."" [ISBN:0198506732]",317,581,26,18117,0.04475043029259897,0.08201892744479496,query_1,"['GO:0009914', 'GO:0023061']"
26,GO:BP,GO:0007269,neurotransmitter secretion,4.929788201474754e-09,True,"""The regulated release of neurotransmitter from the presynapse into the synaptic cleft via calcium-regulated exocytosis during synaptic transmission."" [GOC:dph]",163,581,27,18117,0.04647160068846816,0.1656441717791411,query_1,"['GO:0001505', 'GO:0006836', 'GO:0007268', 'GO:0051649', 'GO:0099643']"
25,GO:BP,GO:0099643,signal release from synapse,4.929788201474754e-09,True,"""Any signal release from a synapse."" [GOC:dos]",163,581,27,18117,0.04647160068846816,0.1656441717791411,query_1,"['GO:0023061', 'GO:0099536']"
65,GO:BP,GO:0001505,regulation of neurotransmitter levels,8.070399518928513e-06,True,"""Any process that modulates levels of neurotransmitter."" [GOC:jl]",224,581,27,18117,0.04647160068846816,0.12053571428571429,query_1,['GO:0065008']
243,GO:BP,GO:0009914,hormone transport,0.017047069302866365,True,"""The directed movement of hormones into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:tb]",327,581,27,18117,0.04647160068846816,0.08256880733944955,query_1,"['GO:0006810', 'GO:0010817']"
32,GO:BP,GO:0099504,synaptic vesicle cycle,3.554915017721179e-08,True,"""A biological process in which synaptic vesicles are loaded with neurotransmitters, move to the active zone, exocytose and are then recycled via endocytosis, ultimately leading to reloading with neurotransmitters."" [GOC:aruk, GOC:bc, PMID:15217342]",190,581,28,18117,0.04819277108433735,0.14736842105263157,query_1,"['GO:0051649', 'GO:0099003']"
34,GO:BP,GO:0099003,vesicle-mediated transport in synapse,7.846103359343129e-08,True,"""Any vesicle-mediated transport that occurs in a synapse."" [GOC:dos]",210,581,29,18117,0.04991394148020654,0.1380952380952381,query_1,['GO:0016192']
39,GO:BP,GO:0006836,neurotransmitter transport,2.206836850335495e-07,True,"""The directed movement of a neurotransmitter into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Neurotransmitters are any chemical substance that is capable of transmitting (or inhibiting the transmission of) a nerve impulse from a neuron to another cell."" [GOC:ai]",219,581,29,18117,0.04991394148020654,0.1324200913242009,query_1,['GO:0006810']
254,GO:BP,GO:0050808,synapse organization,0.019941033771070676,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell)."" [GOC:ai, GOC:pr]",428,581,32,18117,0.055077452667814115,0.07476635514018691,query_1,['GO:0034330']
268,GO:BP,GO:0010975,regulation of neuron projection development,0.022654367036987033,True,"""Any process that modulates the rate, frequency or extent of neuron projection development. Neuron projection development is the process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:dph, GOC:tb]",451,581,33,18117,0.05679862306368331,0.07317073170731707,query_1,"['GO:0031175', 'GO:0120035']"
235,GO:BP,GO:0007610,behavior,0.014161279224017434,True,"""The internally coordinated responses (actions or inactions) of animals (individuals or groups) to internal or external stimuli, via a mechanism that involves nervous system activity."" [GOC:ems, GOC:jl, ISBN:0395448956, PMID:20160973]",586,581,40,18117,0.06884681583476764,0.06825938566552901,query_1,['GO:0008150']
223,GO:BP,GO:0048667,cell morphogenesis involved in neuron differentiation,0.01143671295251683,True,"""The process in which the structures of a neuron are generated and organized. This process occurs while the initially relatively unspecialized cell is acquiring the specialized features of a neuron."" [GOC:dph, GOC:tb]",602,581,41,18117,0.07056798623063683,0.0681063122923588,query_1,"['GO:0000904', 'GO:0048666']"
50,GO:BP,GO:0042391,regulation of membrane potential,7.748754672988934e-07,True,"""Any process that modulates the establishment or extent of a membrane potential, the electric potential existing across any membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane."" [GOC:jl, GOC:mtg_cardio, GOC:tb, ISBN:0198506732]",442,581,42,18117,0.07228915662650602,0.09502262443438914,query_1,['GO:0065008']
215,GO:BP,GO:0120035,regulation of plasma membrane bounded cell projection organization,0.008737480042917493,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of plasma membrane bounded cell projections."" [GOC:krc]",638,581,43,18117,0.07401032702237521,0.06739811912225706,query_1,"['GO:0031344', 'GO:0120036']"
89,GO:BP,GO:0060627,regulation of vesicle-mediated transport,7.841835041450535e-05,True,"""Any process that modulates the rate, frequency, or extent of vesicle-mediated transport, the directed movement of substances, either within a vesicle or in the vesicle membrane, into, out of or within a cell."" [GOC:dph, GOC:tb]",536,581,43,18117,0.07401032702237521,0.08022388059701492,query_1,"['GO:0016192', 'GO:0050794', 'GO:0051049']"
247,GO:BP,GO:0031344,regulation of cell projection organization,0.01753251182839342,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell projections."" [GOC:mah]",656,581,43,18117,0.07401032702237521,0.06554878048780488,query_1,"['GO:0030030', 'GO:0051128']"
299,GO:BP,GO:0034330,cell junction organization,0.03844134758066321,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell junction. A cell junction is a specialized region of connection between two cells or between a cell and the extracellular matrix."" [GOC:dph, GOC:jl, GOC:mah]",722,581,45,18117,0.0774526678141136,0.062326869806094184,query_1,['GO:0016043']
144,GO:BP,GO:0048812,neuron projection morphogenesis,0.0007662715905576697,True,"""The process in which the anatomical structures of a neuron projection are generated and organized. A neuron projection is any process extending from a neural cell, such as axons or dendrites."" [GOC:mah]",664,581,47,18117,0.08089500860585198,0.07078313253012049,query_1,"['GO:0031175', 'GO:0120039']"
159,GO:BP,GO:0032990,cell part morphogenesis,0.0013802251948864554,True,"""The process in which the anatomical structures of a cell part are generated and organized."" [GOC:mah]",699,581,48,18117,0.08261617900172118,0.06866952789699571,query_1,['GO:0032989']
136,GO:BP,GO:0048858,cell projection morphogenesis,0.000675625848820884,True,"""The process in which the anatomical structures of a cell projection are generated and organized."" [GO_REF:0000021]",682,581,48,18117,0.08261617900172118,0.07038123167155426,query_1,"['GO:0000902', 'GO:0030030', 'GO:0032990']"
131,GO:BP,GO:0120039,plasma membrane bounded cell projection morphogenesis,0.0005684605214579903,True,"""The process in which the anatomical structures of a plasma membrane bounded cell projection are generated and organized."" [GOC:krc]",678,581,48,18117,0.08261617900172118,0.07079646017699115,query_1,['GO:0048858']
9,GO:BP,GO:0099177,regulation of trans-synaptic signaling,1.543970290074391e-12,True,"""Any process that modulates the frequency, rate or extent of trans-synaptic signaling."" [GOC:dos]",431,581,51,18117,0.08777969018932874,0.11832946635730858,query_1,"['GO:0010646', 'GO:0023051', 'GO:0099537']"
7,GO:BP,GO:0050804,modulation of chemical synaptic transmission,1.4022424903987263e-12,True,"""Any process that modulates the frequency or amplitude of synaptic transmission, the process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse.  Amplitude, in this case, refers to the change in postsynaptic membrane potential due to a single instance of synaptic transmission."" [GOC:ai]",430,581,51,18117,0.08777969018932874,0.1186046511627907,query_1,"['GO:0007268', 'GO:0099177']"
18,GO:BP,GO:0023061,signal release,1.1585022922937194e-10,True,"""The process in which a signal is secreted or discharged into the extracellular medium from a cellular source."" [GOC:mtg_signal]",496,581,52,18117,0.08950086058519793,0.10483870967741936,query_1,"['GO:0007267', 'GO:0032940']"
30,GO:BP,GO:1903530,regulation of secretion by cell,2.5476577943838226e-08,True,"""Any process that modulates the frequency, rate or extent of secretion by cell."" [GO_REF:0000058, GOC:pm, GOC:TermGenie, PMID:12130530]",588,581,53,18117,0.09122203098106713,0.09013605442176871,query_1,"['GO:0032940', 'GO:0050794', 'GO:0051046']"
35,GO:BP,GO:0051046,regulation of secretion,9.858119925455826e-08,True,"""Any process that modulates the frequency, rate or extent of the controlled release of a substance from a cell or a tissue."" [GOC:ai]",647,581,55,18117,0.09466437177280551,0.08500772797527048,query_1,"['GO:0046903', 'GO:0051049']"
98,GO:BP,GO:0032989,cellular component morphogenesis,0.00013202870323433276,True,"""The process in which cellular structures, including whole cells or cell parts, are generated and organized."" [GOC:dph, GOC:mah, GOC:tb]",791,581,55,18117,0.09466437177280551,0.0695322376738306,query_1,"['GO:0009653', 'GO:0016043', 'GO:0048869']"
166,GO:BP,GO:0000902,cell morphogenesis,0.0017568609068200744,True,"""The developmental process in which the size or shape of a cell is generated and organized."" [GOC:clt, GOC:dph, GOC:go_curators, GOC:tb]",1037,581,63,18117,0.10843373493975904,0.06075216972034716,query_1,['GO:0009653']
6,GO:BP,GO:0098916,anterograde trans-synaptic signaling,8.002177739620113e-13,True,"""Cell-cell signaling from pre to post-synapse, across the synaptic cleft."" [GOC:dos]",705,581,68,18117,0.11703958691910499,0.09645390070921986,query_1,['GO:0099537']
5,GO:BP,GO:0007268,chemical synaptic transmission,8.002177739620113e-13,True,"""The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:jl, MeSH:D009435]",705,581,68,18117,0.11703958691910499,0.09645390070921986,query_1,['GO:0098916']
8,GO:BP,GO:0099537,trans-synaptic signaling,1.4174449056625712e-12,True,"""Cell-cell signaling in either direction across the synaptic cleft."" [GOC:dos]",713,581,68,18117,0.11703958691910499,0.09537166900420757,query_1,['GO:0099536']
11,GO:BP,GO:0099536,synaptic signaling,2.3353338235636458e-12,True,"""Cell-cell signaling to, from or within a synapse."" [GOC:dos]",738,581,69,18117,0.11876075731497418,0.09349593495934959,query_1,['GO:0007267']
40,GO:BP,GO:0031175,neuron projection development,3.4625953614739653e-07,True,"""The process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:mah]",1012,581,72,18117,0.12392426850258176,0.07114624505928854,query_1,"['GO:0048666', 'GO:0120036']"
106,GO:BP,GO:0006812,cation transport,0.00018229549732485823,True,"""The directed movement of cations, atoms or small molecules with a net positive charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",1197,581,73,18117,0.12564543889845095,0.06098579782790309,query_1,['GO:0006811']
202,GO:BP,GO:0032940,secretion by cell,0.006532720712869524,True,"""The controlled release of a substance by a cell."" [GOC:mah]",1364,581,75,18117,0.12908777969018934,0.05498533724340176,query_1,"['GO:0046903', 'GO:0140352']"
176,GO:BP,GO:0043269,regulation of ion transport,0.002645855285227144,True,"""Any process that modulates the frequency, rate or extent of the directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:jl]",1379,581,77,18117,0.13253012048192772,0.05583756345177665,query_1,"['GO:0006811', 'GO:0051049']"
175,GO:BP,GO:0050877,nervous system process,0.002563981968128631,True,"""A organ system process carried out by any of the organs or tissues of neurological system."" [GOC:ai, GOC:mtg_cardio]",1426,581,79,18117,0.1359724612736661,0.05539971949509116,query_1,['GO:0003008']
152,GO:BP,GO:0140352,export from cell,0.0010519107683581472,True,"""The directed movement of some substance from a cell, into the extracellular region. This may occur via transport across the plasma membrane or via exocytosis."" [GOC:pg]",1418,581,80,18117,0.13769363166953527,0.056417489421720736,query_1,"['GO:0006810', 'GO:0009987']"
193,GO:BP,GO:0046903,secretion,0.005158456919239972,True,"""The controlled release of a substance by a cell or a tissue."" [GOC:ai]",1501,581,81,18117,0.13941480206540446,0.05396402398401066,query_1,['GO:0006810']
28,GO:BP,GO:0048666,neuron development,1.30362662471616e-08,True,"""The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GOC:dph]",1149,581,82,18117,0.14113597246127366,0.07136640557006092,query_1,"['GO:0030182', 'GO:0048468']"
127,GO:BP,GO:0030030,cell projection organization,0.0005138107828102036,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a prolongation or process extending from a cell, e.g. a flagellum or axon."" [GOC:jl, GOC:mah, http://www.cogsci.princeton.edu/~wn/]",1609,581,89,18117,0.153184165232358,0.05531385954008701,query_1,['GO:0016043']
103,GO:BP,GO:0120036,plasma membrane bounded cell projection organization,0.00016677949379071333,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a plasma membrane bounded prolongation or process extending from a cell, e.g. a cilium or axon."" [GOC:krc]",1569,581,89,18117,0.153184165232358,0.05672402804333971,query_1,['GO:0030030']
19,GO:BP,GO:0030182,neuron differentiation,1.6270679381351376e-10,True,"""The process in which a relatively unspecialized cell acquires specialized features of a neuron."" [GOC:mah]",1412,581,99,18117,0.1703958691910499,0.07011331444759207,query_1,"['GO:0030154', 'GO:0048699']"
15,GO:BP,GO:0048699,generation of neurons,5.249454751528316e-11,True,"""The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons."" [GOC:nln]",1559,581,107,18117,0.18416523235800344,0.0686337395766517,query_1,['GO:0022008']
36,GO:BP,GO:0051049,regulation of transport,1.1792438511627592e-07,True,"""Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",1809,581,109,18117,0.18760757314974183,0.06025428413488115,query_1,"['GO:0006810', 'GO:0032879']"
218,GO:BP,GO:0003008,system process,0.010514724811105372,True,"""A multicellular organismal process carried out by any of the organs or tissues in an organ system. An organ system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a biological objective."" [GOC:mtg_cardio]",2293,581,111,18117,0.19104991394148021,0.04840819886611426,query_1,['GO:0032501']
22,GO:BP,GO:0007267,cell-cell signaling,4.3528371078757573e-10,True,"""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell.  Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]",1722,581,112,18117,0.1927710843373494,0.06504065040650407,query_1,"['GO:0007154', 'GO:0023052']"
16,GO:BP,GO:0022008,neurogenesis,6.738383263202143e-11,True,"""Generation of cells within the nervous system."" [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]",1675,581,112,18117,0.1927710843373494,0.06686567164179104,query_1,"['GO:0007399', 'GO:0030154']"
189,GO:BP,GO:0051128,regulation of cellular component organization,0.004883839922075643,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",2412,581,117,18117,0.20137693631669534,0.048507462686567165,query_1,"['GO:0016043', 'GO:0050794']"
55,GO:BP,GO:0048468,cell development,2.5269322861633286e-06,True,"""The process whose specific outcome is the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."" [GOC:go_curators]",2100,581,117,18117,0.20137693631669534,0.055714285714285716,query_1,"['GO:0030154', 'GO:0048856', 'GO:0048869']"
140,GO:BP,GO:0032879,regulation of localization,0.0007420315253205996,True,"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]",2872,581,138,18117,0.23752151462994836,0.04805013927576602,query_1,"['GO:0050789', 'GO:0051179']"
4,GO:BP,GO:0007399,nervous system development,5.1024059909548105e-14,True,"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]",2449,581,154,18117,0.26506024096385544,0.06288280930992242,query_1,['GO:0048731']
139,GO:BP,GO:0010646,regulation of cell communication,0.0007272135251194731,True,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",3543,581,163,18117,0.28055077452667815,0.04600620942703923,query_1,"['GO:0007154', 'GO:0050794']"
145,GO:BP,GO:0023051,regulation of signaling,0.0008382526770503462,True,"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",3578,581,164,18117,0.2822719449225473,0.045835662381218556,query_1,"['GO:0023052', 'GO:0050789']"
226,GO:BP,GO:0030154,cell differentiation,0.011892274850602248,True,"""The process in which relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",4350,581,186,18117,0.32013769363166955,0.04275862068965517,query_1,['GO:0048869']
275,GO:BP,GO:0048869,cellular developmental process,0.024803870354010785,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",4428,581,187,18117,0.3218588640275387,0.042231255645889795,query_1,"['GO:0009987', 'GO:0032502']"
80,GO:BP,GO:0065008,regulation of biological quality,4.111999737585837e-05,True,"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",4131,581,190,18117,0.3270223752151463,0.04599370612442508,query_1,['GO:0065007']
201,GO:BP,GO:0048731,system development,0.006389817204040053,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",5052,581,212,18117,0.3648881239242685,0.04196357878068092,query_1,"['GO:0007275', 'GO:0048856']"
289,GO:BP,GO:0006810,transport,0.03193385933366472,True,"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter, pore or motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]",5224,581,214,18117,0.3683304647160069,0.04096477794793262,query_1,['GO:0051234']
314,GO:BP,GO:0051234,establishment of localization,0.04839212760214372,True,"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]",5372,581,218,18117,0.37521514629948366,0.04058078927773641,query_1,['GO:0051179']
188,GO:BP,GO:0007275,multicellular organism development,0.004786903523585163,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",5613,581,232,18117,0.3993115318416523,0.04133262070194192,query_1,"['GO:0032501', 'GO:0048856']"
266,GO:BP,GO:0048856,anatomical structure development,0.021679001343260767,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",6106,581,245,18117,0.42168674698795183,0.04012446773665247,query_1,['GO:0032502']
249,GO:BP,GO:0032502,developmental process,0.017846522576899837,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",6628,581,263,18117,0.45266781411359724,0.03968014484007242,query_1,['GO:0008150']
250,GO:BP,GO:0023052,signaling,0.018240979230176896,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6810,581,269,18117,0.4629948364888124,0.039500734214390605,query_1,['GO:0008150']
240,GO:BP,GO:0007154,cell communication,0.015814075556531533,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6829,581,270,18117,0.46471600688468157,0.039537267535510325,query_1,['GO:0009987']
258,GO:BP,GO:0032501,multicellular organismal process,0.020455501878870824,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7946,581,306,18117,0.5266781411359724,0.038509942109237354,query_1,['GO:0008150']
234,KEGG,KEGG:04726,Serotonergic synapse,0.013887981011392667,True,Serotonergic synapse,113,240,12,8001,1.05,0.10619469026548672,query_1,['KEGG:00000']
