"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"5-Methoxysalicylic acid","5-Methoxysalicylic acid","HMDB0001868","75787",NA,"COC1=CC(=C(C=C1)O)C(=O)O","1"
"3,4-Dihydroxymandelaldehyde","3,4-Dihydroxymandelaldehyde","HMDB0006242","151725","C05577","C1=CC(=C(C=C1C(C=O)O)O)O","1"
"cis-4-Decenoic acid","cis-4-Decenoic acid","HMDB0004980","5312351",NA,"CCCCC/C=C\CCC(=O)O","1"
"trans-Dec-2-enoic acid","trans-Dec-2-enoic acid","HMDB0010726","5282724",NA,"CCCCCCC/C=C/C(=O)O","1"
"8-Methylnonenoate","8-Methylnonenoate","HMDB0012183","5365959","C18202","CC(C)/C=C/CCCCC(=O)O","1"
"Capric acid","Capric acid","HMDB0000511","2969","C01571","CCCCCCCCCC(=O)O","1"
"Cysteinylglycine","Cysteinylglycine","HMDB0000078","439498","C01419","C([C@@H](C(=O)NCC(=O)O)N)S","1"
"Nicotinuric acid","Nicotinuric acid","HMDB0003269","68499","C05380","C1=CC(=CN=C1)C(=O)NCC(=O)O","1"
"Phosphohydroxypyruvic acid","Phosphohydroxypyruvic acid","HMDB0001024","105","C03232","C(C(=O)C(=O)O)OP(=O)(O)O","1"
"Glutarylglycine","Glutarylglycine","HMDB0000590","23592950",NA,"C(CC(=O)NCC(=O)O)CC(=O)O","1"
"N-Acetylglutamic acid","N-Acetylglutamic acid","HMDB0001138","185","C00624","CC(=O)NC(CCC(=O)O)C(=O)O","1"
"D-Glucuronic acid","D-Glucuronic acid","HMDB0000127","94715","C00191","[C@@H]1([C@@H]([C@H](O[C@@H]([C@@H]1O)O)C(=O)O)O)O","1"
"Galacturonic acid","Galacturonic acid","HMDB0002545","84740","C08348","C(=O)[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O","1"
"Iduronic acid","Iduronic acid","HMDB0002704","18845","C06472","C(=O)[C@H]([C@@H]([C@H]([C@@H](C(=O)O)O)O)O)O","1"
"Pectic acid","Pectic acid","HMDB0003363","445929","C00470","[C@@H]1([C@H]([C@H](O[C@@H]([C@@H]1O)O)C(=O)O)O)O","1"
"Pectin","Pectin","HMDB0003402","65550","C08348","[C@@H]1([C@H]([C@H](O[C@H]([C@@H]1O)O)C(=O)O)O)O","1"
"3-Dehydro-L-gulonate","3-Dehydro-L-gulonate","HMDB0006334","439273","C00618","C([C@@H]([C@H](C(=O)[C@@H](C(=O)O)O)O)O)O","1"
"5-Keto-D-gluconate","5-Keto-D-gluconate","HMDB0011731","3838","C01062","C(C(=O)C(C(C(C(=O)O)O)O)O)O","1"
"2-Keto-L-gluconate","2-Keto-L-gluconate","HMDB0011732","50","C03342","C(C(C(C(C(=O)C(=O)O)O)O)O)O","1"
"2-Methylcitric acid","2-Methylcitric acid","HMDB0000379","5290","C02225","CC(C(=O)O)C(CC(=O)O)(C(=O)O)O","1"
"Homocitric acid","Homocitric acid","HMDB0003518","439459","C01251","C(C[C@@](CC(=O)O)(C(=O)O)O)C(=O)O","1"
"Methylisocitric acid","Methylisocitric acid","HMDB0006471","513","C04593","CC(C(CC(=O)O)C(=O)O)(C(=O)O)O","1"
"Lipoic acid","(R)-lipoic acid","HMDB0001451","6112","C16241","C1CSS[C@@H]1CCCCC(=O)O","1"
"Chalcone","Chalcone","HMDB0003066","637760","C15589","C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2","1"
"L-prolyl-L-proline","L-prolyl-L-proline","HMDB0011180","263469",NA,"C1CC(NC1)C(=O)N2CCCC2C(=O)O","1"
"N-Nonanoylglycine","N-Nonanoylglycine","HMDB0013279","10176752",NA,"CCCCCCCCC(=O)NCC(=O)O","1"
"L-Cystathionine","L-Cystathionine","HMDB0000099","439258","C02291","C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N","1"
"Allocystathionine","Allocystathionine","HMDB0000455","10104953","C00542","C(CSCC(C(=O)O)N)[C@@H](C(=O)O)N","1"
"Flavone","Flavone","HMDB0003075","10680","C15608","C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2","1"
"Carnosine","Carnosine","HMDB0000033","439224","C00386","C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN","1"
"(6R)-6-(L-Erythro-1,2-Dihydroxypropyl)-5,6,7,8-tetrahydro-4a-hydroxypterin","(6R)-6-(L-Erythro-1,2-Dihydroxypropyl)-5,6,7,8-tetrahydro-4a-hydroxypterin","HMDB0012482","53481437","C15522","C[C@@H](C([C@@H]1CNC2=C(N1)C(=O)N=CN2)O)O","1"
"Porphobilinogen","Porphobilinogen","HMDB0000245","1021","C00931","C1=C(C(=C(N1)CN)CC(=O)O)CCC(=O)O","1"
"Norepinephrine sulfate","Norepinephrine sulfate","HMDB0002062","123747",NA,"C1=CC(=C(C=C1[C@H](CN)O)O)OS(=O)(=O)O","1"
"Hexanoylcarnitine","Hexanoylcarnitine","HMDB0000705","6426853",NA,"CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"L-Hexanoylcarnitine","L-Hexanoylcarnitine","HMDB0000756","3246938",NA,"CCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","1"
"Fructose 6-phosphate","Fructose 6-phosphate","HMDB0000124","69507","C00085","C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)OP(=O)(O)O","1"
"Myo-inositol 1-phosphate","Myo-inositol 1-phosphate","HMDB0000213",NA,"C01177","O[C@H]1[C@H](O)[C@H](O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1O","1"
"Galactose 1-phosphate","Galactose 1-phosphate","HMDB0000645","123912","C00446","C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)O","1"
"Dolichyl phosphate D-mannose","Dolichyl phosphate D-mannose","HMDB0000994","3246168","C03862","C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)OP(=O)(O)O)O)O)O)O","1"
"Fructose 1-phosphate","Fructose 1-phosphate","HMDB0001076","10400369","C01094","C([C@@H]1[C@H]([C@@H]([C@](O1)(COP(=O)(O)O)O)O)O)O","1"
"Mannose 6-phosphate","Mannose 6-phosphate","HMDB0001078","439198","C00275","C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O)OP(=O)(O)O","1"
"D-Myo-inositol 4-phosphate","D-Myo-inositol 4-phosphate","HMDB0001313","440043","C03546","O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@H]1O","1"
"Glucose 6-phosphate","Glucose 6-phosphate","HMDB0001401","5958","C00092","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)OP(=O)(O)O","1"
"Glucose 1-phosphate","Glucose 1-phosphate","HMDB0001586","439165","C00103","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)OP(=O)(O)O)O)O)O)O","1"
"Inositol phosphate","Inositol phosphate","HMDB0002985",NA,"C01177","O[C@@H]1[C@@H](O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@@H]1O","1"
"Beta-D-Glucose 6-phosphate","Beta-D-Glucose 6-phosphate","HMDB0003498","439427","C01172","C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)OP(=O)(O)O","1"
"Beta-D-Fructose 6-phosphate","Beta-D-Fructose 6-phosphate","HMDB0003971","440641","C05345","C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O","1"
"D-Tagatose 1-phosphate","D-Tagatose 1-phosphate","HMDB0006328","6101730",NA,"C([C@H]([C@@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O","1"
"D-Mannose 1-phosphate","D-Mannose 1-phosphate","HMDB0006330","644175","C00636","C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)OP(=O)(O)O)O)O)O)O","1"
"Sorbose 1-phosphate","Sorbose 1-phosphate","HMDB0006797","439837","C02888","C([C@@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O","1"
"Beta-D-Fructose 2-phosphate","Beta-D-Fructose 2-phosphate","HMDB0006800","193537","C03267","C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)OP(=O)(O)O)O)O)O","1"
"1D-myo-Inositol 3-phosphate","1D-myo-Inositol 3-phosphate","HMDB0006814","440194","C04006","[C@H]1([C@@H](C([C@H]([C@@H](C1O)O)O)OP(=O)(O)O)O)O","1"
"D-Tagatose 6-phosphate","D-Tagatose 6-phosphate","HMDB0006873","439396","C01097","C([C@@H]1[C@@H]([C@@H](C(O1)(CO)O)O)O)OP(=O)(O)O","1"
"Methylmalonylcarnitine","Methylmalonylcarnitine","HMDB0013133","53481628",NA,"CC(C(=O)O)C(=O)O[C@@H](CC(=O)[O-])C[N+](C)(C)C","1"
"Gamma glutamyl ornithine","Gamma glutamyl ornithine","HMDB0002248","189156",NA,"C(C[C@@H](C(=O)O)NC(=O)[C@H](CCC(=O)O)N)CN","1"
"Aspartylysine","Aspartylysine","HMDB04985","165361",NA,"C(CCN)C[C@@H](C(=O)O)NC(=O)C[C@@H](C(=O)O)N","1"
"Alpha-Aspartyl-lysine","Alpha-Aspartyl-lysine","HMDB04987","6427003",NA,"C(CCN)C[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)N","1"
"Inosine","Inosine","HMDB0000195","6021","C00294","C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
"Allopurinol riboside","Allopurinol riboside","HMDB0000481","5273534",NA,"OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1N=CC2=C1NC=NC2=O","1"
"Arabinosylhypoxanthine","Arabinosylhypoxanthine","HMDB0003040","46874582",NA,"C1=NC(=O)C2=C(N1)N(C=N2)C3[C@H]([C@@H]([C@H](O3)CO)O)O","1"
"3-Oxohexadecanoic acid","3-Oxohexadecanoic acid","HMDB0010733","5282997",NA,"CCCCCCCCCCCCCC(=O)CC(=O)O","1"
"Octadecanol","Octadecanol","HMDB0002350","8221","D01924","CCCCCCCCCCCCCCCCCCO","1"
"(R)-3-Hydroxy-hexadecanoic acid","(R)-3-Hydroxy-hexadecanoic acid","HMDB0010734","15569776",NA,"CCCCCCCCCCCCC[C@H](CC(=O)O)O","1"
"Ethenodeoxyadenosine","Ethenodeoxyadenosine","HMDB0001786","10945668",NA,"C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN4C3=NC=C4)CO)O","1"
"Stearic acid","Stearic acid","HMDB0000827","5281","C01530","CCCCCCCCCCCCCCCCCC(=O)O","1"
"Hexadecanedioic acid","Hexadecanedioic acid","HMDB0000672","10459","C19615","C(CCCCCCCC(=O)O)CCCCCCC(=O)O","1"
"Apigenin","Apigenin","HMDB0002124","5280443","C01477","C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O","1"
"Genistein","Genistein","HMDB0003217","5280961","C06563","C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O","1"
"L-Cysteinylglycine disulfide","L-Cysteinylglycine disulfide","HMDB0000709","22833544",NA,"C([C@@H](C(=O)O)N)SSCC(C(=O)NCC(=O)O)N","1"
"3-Oxooctadecanoic acid","3-Oxooctadecanoic acid","HMDB0010736","5283005",NA,"CCCCCCCCCCCCCCCC(=O)CC(=O)O","1"
"(R)-3-Hydroxy-Octadecanoic acid","(R)-3-Hydroxy-Octadecanoic acid","HMDB0010737","5312838",NA,"CCCCCCCCCCCCCCC[C@H](CC(=O)O)O","1"
"16b-Hydroxyestrone","16b-Hydroxyestrone","HMDB0000313","22833517","C05300","C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@@H](C2=O)O)CCC4=C3C=CC(=C4)O","1"
"16a-Hydroxyestrone","16a-Hydroxyestrone","HMDB0000335","115116","C05300","C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H](C2=O)O)CCC4=C3C=CC(=C4)O","1"
"2-Hydroxyestrone","2-Hydroxyestrone","HMDB0000343","440623","C05298","C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=C(C=C34)O)O","1"
"16-Ketoestradiol","16-Ketoestradiol","HMDB0000406","66417","C14383","C[C@]12CC[C@H]3[C@H]([C@@H]1CC(=O)[C@@H]2O)CCC4=C3C=CC(=C4)O","1"
"4-Hydroxyestrone","4-Hydroxyestrone","HMDB0005895","53477797",NA,"C[C@@]12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4O)O","1"
"Glutathione","Glutathione","HMDB0062697","745","C00051","NC(CCC(O)=NC(CS)C(O)=NCC(O)=O)C(O)=O","1"
"dUMP","dUMP","HMDB0001409","65063","C00365","C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O","1"
"N-Acetylneuraminic acid","N-Acetylneuraminic acid","HMDB0000230","445063","C19910","CC(=O)N[C@@H]1[C@H](C[C@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O)O","1"
"N-Acetyl-a-neuraminic acid","N-Acetyl-a-neuraminic acid","HMDB0000773","444885","C19909","CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O)O","1"
"Epicatechin","Epicatechin","HMDB0001871","72276","C09727","C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O","1"
"Catechin","Catechin","HMDB0002780","9064","C06562","C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O","1"
"Hawkinsin","Hawkinsin","HMDB0002354","173909",NA,"C1C(C=CC(C1SCC(C(=O)O)N)(CC(=O)O)O)O","1"
"3D,7D,11D-Phytanic acid","3D,7D,11D-Phytanic acid","HMDB0000417","10380830",NA,"C[C@H](CCC[C@H](C)CCCC(C)C)CCC[C@@H](C)CC(=O)O","1"
"3L,7D,11D-Phytanic acid","3L,7D,11D-Phytanic acid","HMDB0000553","9972843",NA,"C[C@H](CCC[C@H](C)CCCC(C)C)CCC[C@H](C)CC(=O)O","1"
"Phytanic acid","Phytanic acid","HMDB0000801","26840","C01607","CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)O","1"
"Arachidic acid","Arachidic acid","HMDB0002212","10467","C06425","CCCCCCCCCCCCCCCCCCCC(=O)O","1"
"Octadecanedioic acid","Octadecanedioic acid","HMDB0000782","70095",NA,"C(CCCCCCCCC(=O)O)CCCCCCCC(=O)O","1"
"9,10-DHOME","9,10-DHOME","HMDB0004704","9966640","C14828","CCCCC/C=C\CC(C(CCCCCCCC(=O)O)O)O","1"
"12,13-DHOME","12,13-DHOME","HMDB0004705","10236635","C14829","CCCCCC(C(C/C=C\CCCCCCCC(=O)O)O)O","1"
"MG(0:0/15:0/0:0)","MG(0:0/15:0/0:0)","HMDB0011532","537297",NA,"CCCCCCCCCCCCCCC(=O)OC(CO)CO","1"
"MG(15:0/0:0/0:0)","MG(15:0/0:0/0:0)","HMDB0011563","46879024",NA,"CCCCCCCCCCCCCCC(=O)OC[C@H](CO)O","1"
"N-Oleoylethanolamine","N-Oleoylethanolamine","HMDB0002088","5283454","C20792","CCCCCCCC/C=C\CCCCCCCC(=O)NCCO","1"
"2-O-a-L-Fucopyranosyl-galactose","2-O-a-L-Fucopyranosyl-galactose","HMDB0006590","9548873",NA,"C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H](C=O)[C@H]([C@H]([C@@H](CO)O)O)O)O)O)O","1"
"3-O-a-L-Fucopyranosyl-D-glucose","3-O-a-L-Fucopyranosyl-D-glucose","HMDB0006701","53477882",NA,"CC1C(C([C@@H]([C@@H](O1)OC([C@H](C=O)O)[C@@H](C(CO)O)O)O)O)O","1"
"Stearoylethanolamide","Stearoylethanolamide","HMDB0013078","27902",NA,"CCCCCCCCCCCCCCCCCC(=O)NCCO","1"
"N,N-Dimethylsphingosine","N,N-Dimethylsphingosine","HMDB0013645","5282309","C13914","CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N(C)C)O","1"
"Riboflavin reduced","Riboflavin reduced","HMDB0001557","22833571","C01007","C1=CC=C2C(=C1)N=C3C(=O)NC(=O)N=C3N2C[C@H]([C@H]([C@@H](CO)O)O)O","1"
"Medroxyprogesterone","Medroxyprogesterone","HMDB0001939","6279","C07119","C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)O)C)[C@@]4(C1=CC(=O)CC4)C","1"
"17-HDoHE","17-HDoHE","HMDB0010213","6439179",NA,"CC/C=C\CC(/C=C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O)O","1"
"19(20)-EpDPE","19(20)-EpDPE","HMDB0013620","11631565",NA,"CCC1C(O1)C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O","1"
"16(17)-EpDPE","16(17)-EpDPE","HMDB0013621","14392758",NA,"CC/C=C\CC1C(O1)C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O","1"
"Phosphoribosyl formamidocarboxamide","Phosphoribosyl formamidocarboxamide","HMDB0001439","166760","C04734","C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)NC=O)C(=O)N","1"
"12-Oxo-20-hydroxy-leukotriene B4","12-Oxo-20-hydroxy-leukotriene B4","HMDB0012552","53481459",NA,"C(CC/C=C\CC(=O)/C=C/C=C/C=C\[C@@H](CCCC(=O)O)O)CCO","1"
"15-Epi-lipoxin B5","15-Epi-lipoxin B5","HMDB0012588","53481476",NA,"CC/C=C\C[C@H]([C@@H](/C=C/C=C/C=C\C=C\[C@@H](CCCC(=O)O)O)O)O","1"
"15-Oxo-lipoxin A4","15-Oxo-lipoxin A4","HMDB0012590","53481477",NA,"CCCCCC(=O)/C=C/C=C\C=C\C=C\[C@H]([C@@H](CCCC(=O)O)O)O","1"
"20-oxo-leukotriene B4","20-oxo-leukotriene B4","HMDB0012641","6449839",NA,"C(CCC=O)C/C=C\C[C@H](/C=C/C=C/C=C\[C@H](CCCC(=O)O)O)O","1"
"PGH3","PGH3","HMDB0013040","101600091","C00427","CC/C=C\C[C@H](/C=C/[C@H]1[C@H]2C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)OO2)O","1"
"Succinyladenosine","Succinyladenosine","HMDB0000912","20849086",NA,"C1=NC2=C(C(=N1)N[C@@H](CC(=O)O)C(=O)O)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
"S-Adenosylhomocysteine","S-Adenosylhomocysteine","HMDB0000939","439155","C00021","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O","1"
"DHEA sulfate","Dehydroepiandrosterone sulfate","HMDB0001032","12594","C04555","C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C","1"
"Testosterone sulfate","Testosterone sulfate","HMDB0002833","119207",NA,"C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OS(=O)(=O)O)CCC4=CC(=O)CC[C@]34C","1"
"Epitestosterone sulfate","Epitestosterone sulfate","HMDB0013230","53481658",NA,"C[C@]12CCC3[C@H](C1CC[C@@H]2OS(=O)(=O)O)CCC4=CC(=O)CC[C@]34C","1"
"Acetyl adenylate","Acetyl adenylate","HMDB0006880","440867","C05993","CC(=O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O","1"
"CPA(16:0/0:0)","CPA(16:0/0:0)","HMDB0007003","9801940",NA,"CCCCCCCCCCCCCCCC(=O)OCC1COP(=O)(O1)O","1"
